 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Payton Pritchard,BOS,25,42,32,10,20.9,121.0,109.6,11.5,19.0,4.92,27.8,4.6,9.9,7.2,5.7,54.6,56.2,15.4,97.71,9.1,1772
1,Sam Hauser,BOS,26,41,32,9,21.7,118.1,108.9,9.2,5.9,1.90,11.7,3.0,12.6,7.8,6.2,61.8,62.6,13.6,98.77,8.1,1827
3,Derrick White,BOS,29,38,30,8,32.1,122.2,108.3,13.9,20.5,2.97,25.5,2.2,9.2,5.9,8.6,58.9,63.0,19.0,100.92,11.2,2564
3,Jayson Tatum,BOS,25,39,30,9,35.9,120.3,109.4,10.9,19.3,1.70,15.2,2.5,19.1,11.1,9.0,55.2,60.1,29.3,99.32,15.5,2895
3,Jrue Holiday,BOS,33,39,30,9,33.7,119.9,110.7,9.1,18.4,2.42,25.4,4.4,12.6,8.7,10.5,54.6,56.7,17.1,99.46,9.8,2717
3,Kyle Anderson,MIN,30,42,30,12,22.6,107.9,106.0,1.9,25.0,2.83,33.6,3.0,11.8,7.5,11.9,48.0,52.2,14.2,101.79,9.3,2011
3,Mike Conley,MIN,36,41,30,11,29.2,115.9,106.6,9.3,30.1,6.00,39.6,1.4,7.8,4.8,6.6,58.7,61.6,14.6,98.06,11.5,2447
3,Naz Reid,MIN,24,42,30,12,22.6,110.4,105.1,5.2,7.4,0.80,8.3,4.6,15.4,10.2,10.3,61.0,62.9,21.6,100.56,12.3,1994
3,Nickeil Alexander-Walker,MIN,25,42,30,12,22.3,109.3,106.2,3.1,15.1,2.46,26.2,1.9,5.7,3.9,10.6,53.8,54.9,12.9,100.87,6.1,1969
3,Rudy Gobert,MIN,31,41,30,11,32.8,115.5,105.1,10.4,5.3,0.74,9.3,11.5,25.1,18.9,12.6,62.7,64.6,15.8,97.63,13.3,2729
11,Bobby Portis,MIL,28,42,29,13,23.3,120.9,118.0,3.0,5.9,1.10,8.1,6.9,21.6,14.4,7.3,56.0,58.1,20.8,102.49,10.6,2084
11,Brook Lopez,MIL,35,42,29,13,31.4,118.2,114.1,4.1,6.7,1.86,12.0,4.6,11.1,8.0,6.5,56.9,59.5,15.4,104.10,8.3,2870
11,Cason Wallace,OKC,20,42,29,13,21.3,114.9,110.7,4.2,8.5,2.81,19.4,3.3,7.0,5.3,6.9,61.5,63.0,11.9,101.44,6.6,1883
11,Chet Holmgren,OKC,21,42,29,13,30.1,120.1,110.6,9.4,12.6,1.64,15.7,5.1,17.2,11.6,9.6,60.9,64.2,21.1,103.51,12.9,2711
11,Christian Braun,DEN,22,43,29,14,19.1,108.1,111.1,-3.0,11.2,2.03,16.4,3.2,14.0,8.6,8.1,51.5,55.0,16.9,98.99,8.8,1688
11,Damian Lillard,MIL,33,39,29,10,35.2,121.2,115.2,6.0,27.1,2.82,22.9,1.5,9.8,5.9,8.1,51.8,60.8,27.0,104.30,13.7,2984
11,Isaiah Joe,OKC,24,42,29,13,19.3,118.6,108.4,10.2,8.2,2.00,13.5,1.9,10.4,6.3,6.8,61.3,63.1,16.3,103.53,9.4,1762
11,Jaylen Brown,BOS,27,39,29,10,33.5,120.2,109.9,10.3,16.0,1.36,13.4,2.8,11.5,7.4,9.8,55.2,57.9,28.3,101.12,11.4,2753
11,Josh Giddey,OKC,21,41,29,12,25.0,120.4,111.9,8.6,24.1,2.13,25.6,5.7,18.2,12.4,12.0,49.9,52.3,22.6,103.41,11.5,2206
11,Karl-Anthony Towns,MIN,28,41,29,12,32.9,115.3,108.5,6.8,14.3,1.10,13.4,4.9,21.7,13.7,12.2,57.8,63.2,25.8,99.05,14.4,2788
11,Michael Porter Jr.,DEN,25,43,29,14,31.3,122.3,112.9,9.4,5.9,1.39,8.9,4.1,18.7,11.5,6.5,59.1,60.4,19.7,98.00,10.4,2768
11,Reggie Jackson,DEN,33,43,29,14,23.2,114.4,111.1,3.4,25.7,2.77,26.1,1.6,6.9,4.4,9.4,54.2,55.9,21.6,99.54,9.6,2070
11,Shai Gilgeous-Alexander,OKC,25,41,29,12,34.5,122.5,111.5,11.0,28.7,3.13,19.6,2.5,12.8,7.9,6.3,57.7,64.8,31.2,102.98,19.4,3036
24,Aaron Wiggins,OKC,25,39,28,11,12.6,114.9,109.1,5.8,9.6,1.79,17.4,5.1,11.5,8.6,9.7,65.2,67.1,14.4,100.15,9.3,1008
24,Anthony Edwards,MIN,22,39,28,11,34.8,117.0,108.1,8.9,23.3,1.45,16.6,2.1,12.8,7.8,11.4,52.9,58.6,31.4,98.61,14.5,2791
24,Giannis Antetokounmpo,MIL,29,40,28,12,35.2,121.9,114.6,7.3,28.1,1.64,17.9,7.8,23.0,15.7,10.9,61.9,64.9,32.3,103.78,19.1,3041
24,Kentavious Caldwell-Pope,DEN,30,41,28,13,32.4,122.9,112.3,10.6,9.0,2.49,21.0,1.4,5.7,3.7,8.5,55.5,59.5,12.4,98.24,6.1,2720
24,Nikola Jokic,DEN,28,42,28,14,33.5,123.6,112.6,11.0,40.7,3.09,28.8,9.4,26.6,18.3,9.3,61.3,65.3,29.0,98.18,21.1,2885
24,Paul Reed,PHI,24,41,28,13,15.4,119.5,110.6,8.9,10.2,1.50,17.5,11.7,19.1,15.3,11.6,56.7,58.7,15.1,99.03,9.8,1296
24,Peyton Watson,DEN,21,41,28,13,17.5,110.5,110.5,0.0,7.4,1.90,12.3,3.2,10.8,7.2,6.5,53.6,56.3,16.1,100.23,7.8,1479
24,Tobias Harris,PHI,31,40,28,12,34.1,121.4,111.0,10.4,13.0,2.07,16.4,3.0,14.3,8.8,7.9,55.9,60.7,20.0,100.55,11.6,2851
24,Tyrese Maxey,PHI,23,40,28,12,37.6,122.2,110.8,11.4,26.3,4.22,22.0,1.5,8.0,4.8,5.2,52.8,57.9,26.4,99.90,13.1,3129
33,Al Horford,BOS,37,35,27,8,27.1,117.6,107.7,9.9,13.7,3.54,28.9,5.1,18.5,12.1,8.2,62.2,63.2,10.9,99.32,10.5,1964
33,Cameron Payne,MIL,29,39,27,12,15.3,116.9,116.4,0.5,20.1,3.29,28.7,0.5,6.7,3.8,8.7,59.1,62.6,16.2,101.21,8.0,1257
33,Jalen Williams,OKC,22,39,27,12,32.1,119.2,109.5,9.7,18.9,2.40,21.2,2.0,10.1,6.3,8.8,60.0,63.5,21.9,103.44,11.7,2688
33,Luguentz Dort,OKC,24,40,27,13,28.8,120.9,113.9,7.0,5.7,1.46,11.7,4.8,8.6,6.8,8.0,58.2,61.7,15.0,102.79,6.4,2454
33,Malik Beasley,MIL,27,40,27,13,29.3,119.9,114.4,5.5,5.8,2.00,12.5,2.2,10.3,6.5,6.3,66.0,66.4,13.4,104.09,7.4,2550
38,Donte DiVincenzo,NYK,26,43,26,17,22.2,118.1,116.6,1.6,13.8,1.98,17.5,3.2,10.9,7.0,8.9,61.1,62.3,18.7,101.06,9.5,2007
38,Isaiah Hartenstein,NYK,25,43,26,17,25.6,119.2,109.9,9.4,9.5,1.65,23.7,12.7,19.8,16.3,14.4,60.8,63.8,10.1,100.30,9.8,2302
38,Julius Randle,NYK,29,43,26,17,35.6,119.2,113.6,5.6,21.4,1.42,16.6,5.8,19.9,12.8,11.7,51.6,56.6,28.7,99.25,13.4,3172
38,Norman Powell,LAC,30,40,26,14,25.5,118.1,111.3,6.9,5.4,1.08,8.0,0.6,8.2,4.5,7.4,60.7,64.6,18.4,100.56,9.0,2138
38,Patrick Beverley,PHI,35,39,26,13,18.5,112.4,105.6,6.8,19.4,3.13,30.6,3.3,11.8,7.6,9.8,50.0,53.8,13.0,99.50,8.6,1497
38,Russell Westbrook,LAC,35,40,26,14,23.1,114.4,112.5,1.9,29.5,2.15,27.1,6.7,17.7,12.3,12.6,49.2,51.7,22.9,101.42,12.0,1945
44,Dyson Daniels,NOP,20,43,25,18,22.3,115.3,110.8,4.5,15.8,2.90,28.9,4.6,12.1,8.4,10.0,48.9,51.0,12.6,100.43,7.7,1994
44,Georges Niang,CLE,30,40,25,15,22.1,112.8,113.2,-0.4,7.6,1.45,11.7,1.6,14.8,8.3,8.0,55.3,56.6,17.5,99.40,7.3,1833
44,Herbert Jones,NOP,25,40,25,15,28.8,116.9,112.7,4.2,11.1,2.06,19.8,4.0,8.6,6.3,9.6,56.3,60.7,14.8,99.88,7.5,2386
44,Ivica Zubac,LAC,26,38,25,13,27.1,120.4,111.4,9.0,6.6,1.12,10.7,12.9,23.2,18.3,9.6,65.5,66.5,16.7,97.70,12.3,2101
44,Jalen Brunson,NYK,27,41,25,16,35.8,120.3,114.6,5.7,28.9,2.68,21.2,1.7,9.3,5.4,7.9,54.7,59.5,28.0,99.10,14.1,3039
44,Joel Embiid,PHI,29,31,25,6,34.2,121.0,108.8,12.2,31.9,1.59,16.1,7.6,24.2,16.3,10.1,56.3,64.9,38.1,100.95,22.9,2224
44,Jonas Valanciunas,NOP,31,43,25,18,26.5,119.3,115.2,4.2,12.2,1.60,15.8,10.2,26.3,18.4,9.9,60.1,64.1,19.9,98.93,13.6,2348
